SKU,Author,Name,Type,Price,Category,"Sub Category","Short Discription","Long Discription","Dead Line",Image,Tags,"Package Products",Slug,"Product Status","Product Language"
ID000070,testingentrepreneur1sl@hotmail.com,"Package 8",variable,9000,"Covid19 Relief",Package,"Small description","Long description","14 days",,Employment@Deeds@Contracts,ID000019@ID000029@ID000032,package-8,publish,Tamil@English
ID000069,testingmediator1sl@hotmail.com,"Package 7",variable,11000,"Change Management",Package,"Small description","Long description","2 days",,"Change management@Personal Development@Due Diligence",ID000045@ID000023@ID000032,package-7,publish,Sinhala@English
ID000068,testingother1sl@hotmail.com,"Package 6",variable,20000,Package,,"Small description","Long description","1 week",,Incorporation@Trademarks@Marketing,ID000006@ID000066@ID000004,package-6,publish,Tamil
ID000067,testinglawyer1sl@hotmail.com,"Package 5",variable,7000,Employment,Package,"Small description","Long description","3 working days",,"Contracts@Appraisals@EPF ETF",ID000047@ID000007@ID000057@ID000040@ID000001@ID000054,package-5,publish,English
ID000066,testingsecretary1sl@hotmail.com,"Webianr for Lawyers - Bona Fide",variable,2000,Uncategorized,,"Small description","Long description","10 working days from acceptance",,"For Lawyers",,webianr-for-lawyers-bona-fide-2,publish,Tamil@English
ID000065,testingconsultant1sl@hotmail.com,"Webinar for Company Secretaries",variable,800000,Uncategorized,,"Small description","Long description","8 working days from acceptance",,"For Company Secretaries",,webinar-for-company-secretaries-2,publish,Sinhala@English
ID000064,testingentrepreneur1sl@hotmail.com,"Webinar for Businesses",variable,1500,Uncategorized,,"Small description","Long description","9 working days from acceptance",,"For Businesses",,webinar-for-businesses-2,publish,Sinhala
ID000063,testingmediator1sl@hotmail.com,"Webinar for Consultants",variable,5000,Uncategorized,,"Small description","Long description","10 working days from acceptance",,"For Consultants",,webinar-for-consultants-2,publish,Tamil
ID000062,testingother1sl@hotmail.com,"Public speaking",variable,10000,Booking,Coaching,"Small description","Long description","2 days",,"Client Orientation",,public-speaking,publish,Tamil@English
ID000061,testingother1sl@hotmail.com,"How to conduct a meeting",variable,30000,Booking,Coaching,"Small description","Long description","14 days",,"Strategic Partnership",,how-to-conduct-a-meeting,publish,Sinhala@English
ID000060,testinglawyer1sl@hotmail.com,"Hiring Employees",variable,"Request quote",Booking,Coaching,"Small description","Long description","2 days",,"Covid related",,hiring-employees-2,publish,English
ID000059,testingsecretary1sl@hotmail.com,"Coaching for success",variable,5000,Booking,Coaching,"Small description","Long description","1 week",,Startup,,coaching-for-success,publish,Sinhala
ID000058,testingconsultant1sl@hotmail.com,"General Consultation",variable,"Request quote",Booking,Consultation,"Small description","Long description","2 days",,"First Consultation",,general-consultation,publish,Tamil@English
ID000057,testingentrepreneur1sl@hotmail.com,"Indepth Consultation",variable,"Request quote",Booking,Consultation,"Small description","Long description","14 days",,"Follow up Consultation",,indepth-consultation-2,publish,Sinhala@English
ID000056,testingmediator1sl@hotmail.com,"Indepth Consultation",variable,5000,Booking,Consultation,"Small description","Long description","2 days",,"Special Consultation",,indepth-consultation-3,publish,Tamil@English
ID000055,testingother1sl@hotmail.com,"Indepth Consultation",variable,5000,Booking,Consultation,"Small description","Long description","1 week",,"Other Consultation",,indepth-consultation-4,publish,English
ID000054,testinglawyer1sl@hotmail.com,"Indepth Consultation",variable,"Request quote",Booking,Consultation,"Small description","Long description","14 days",,"Follow up Consultation",,indepth-consultation-5,publish,English
ID000053,testingsecretary1sl@hotmail.com,"Initial Consultation",variable,"Request quote",Booking,Consultation,"Small description","Long description","2 days",,"First Consultation",,initial-consultation-5,publish,English
ID000052,testingconsultant1sl@hotmail.com,"Initial Consultation",variable,5000,Booking,Consultation,"Small description","Long description","2 days",,"Special Consultation",,initial-consultation-6,publish,English
ID000051,testingentrepreneur1sl@hotmail.com,"Initial Consultation",variable,5000,Booking,Consultation,"Small description","Long description","1 week",,"Other Consultation",,initial-consultation,publish,English
ID000050,testingmediator1sl@hotmail.com,"Course for Lawyers",variable,0,"For Lawyers",Course,"Small description","Long description",5,,"For Lawyers",,course-for-lawyers,publish,English
ID000049,testingother1sl@hotmail.com,"How to dissolve companies",variable,1000,"For Secretaries",Course,"Small description","Long description","13 working days from acceptance",,"For Company Secretaries",,how-to-dissolve-companies,publish,Sinhala@English
ID000048,testingother1sl@hotmail.com,"How to start a coaching business",variable,30000,"For Consultants",Course,"Small description","Long description","14 working days from acceptance",,"For Businesses",,how-to-start-a-coaching-business,publish,Tamil@English@Sinhala
ID000047,testinglawyer1sl@hotmail.com,"How to raise funding for your startup",variable,30,"For Entrepreneurs",Course,"Small description","Long description","Within 3 months",,"For Consultants",,how-to-raise-funding-for-your-startup,publish,Tamil@English@Sinhala
ID000046,testingsecretary1sl@hotmail.com,"Due  diligence",variable,0,Lawyer,Service,"Small description","Long description","3 working days",,Contracts,,due-diligence,publish,Tamil@English@Sinhala
ID000045,testingconsultant1sl@hotmail.com,"Employee engagement programme",variable,5000,Consultant,Service,"Small description","Long description","10 working days from acceptance",,Incorporation,,employee-engagement-programme,publish,Tamil@English@Sinhala
ID000044,testingentrepreneur1sl@hotmail.com,"Service by Entrepreneur",variable,1000000,Entrepreneur,Service,"Small description","Long description","11 working days from acceptance",,Employment,,service-by-entrepreneur,publish,Tamil@English@Sinhala
ID000043,testingmediator1sl@hotmail.com,"Deed work",variable,5000,Lawyer,Service,"Small description","Long description","3 working days",,Deeds,,deed-work,publish,Tamil@English@Sinhala
ID000042,testingother1sl@hotmail.com,Incorporation,variable,15000,Secretary,Service,"Small description","Long description","14 days",,Shipping,,incorporation,publish,Sinhala@English
ID000041,testinglawyer1sl@hotmail.com,"Pitch Deck Preparation",variable,5000,Consultant,Service,"Small description","Long description","10 working days from acceptance",,"Import Export",,pitch-deck-preparation,publish,Sinhala@English
